"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"STK10",0,-0.307111659727445,0.062,0.107,0
"CPEB4",0,0.380534675400993,0.419,0.315,0
"KIAA1191",0,0.375353530753281,0.161,0.087,0
"SLC34A1",0,0.453004971029675,0.166,0.076,0
"GMDS",0,-0.483802332395379,0.188,0.259,0
"NQO2",0,0.35940251849282,0.192,0.111,0
"ECI2",0,0.433900430411466,0.201,0.106,0
"GCNT2",0,0.397187346002771,0.24,0.163,0
"CASC15",0,-0.590658446597229,0.1,0.169,0
"ACOT13",0,0.312598164561023,0.132,0.065,0
"FAM65B",0,-0.642395698770492,0.067,0.149,0
"HLA-A",0,-0.496320502249603,0.355,0.414,0
"IER3",0,0.393730284738897,0.165,0.123,0
"HLA-C",0,-0.602719665977364,0.311,0.349,0
"HLA-DRA",0,-0.583889881140544,0.163,0.218,0
"HLA-DPB1",0,-0.450978082027526,0.123,0.177,0
"ZFAND3",0,-0.318140380434454,0.421,0.472,0
"CCND3",0,-0.664864069867477,0.181,0.277,0
"DNPH1",0,0.31504832674813,0.133,0.067,0
"VEGFA",0,0.527428848029698,0.216,0.125,0
"GSTA2",0,1.04341837307083,0.143,0.043,0
"TINAG",0,0.470170354070795,0.254,0.183,0
"FAM135A",0,-0.389381574775404,0.15,0.2,0
"BACH2",0,-0.495060050303031,0.124,0.179,0
"TRAF3IP2-AS1",0,-0.285962658950344,0.082,0.12,0
"FYN",0,-0.484197706749162,0.113,0.161,0
"CEP85L",0,-0.315792829566198,0.082,0.123,0
"FAM184A",0,0.252824714636951,0.114,0.074,0
"PTPRK",0,-0.599943230030592,0.26,0.346,0
"MAP3K5",0,-0.409547584460211,0.161,0.215,0
"HIVEP2",0,-0.418328336759657,0.189,0.254,0
"PLEKHG1",0,-0.588989354022917,0.125,0.184,0
"MTHFD1L",0,-0.765861777193261,0.076,0.175,0
"AKAP12",0,-0.607903940606732,0.176,0.222,0
"SNX9",0,-0.384344094850746,0.189,0.235,0
"SYTL3",0,-0.441734526010587,0.073,0.128,0
"MPC1",0,0.499644277944588,0.305,0.182,0
"NDUFA4",0,0.270141897263199,0.326,0.247,0
"HDAC9",0,-0.603058814117749,0.062,0.12,0
"MACC1",0,-0.693847417276937,0.146,0.236,0
"ITGB8",0,-0.865898499828781,0.216,0.307,0
"JAZF1",0,-0.568169891432214,0.076,0.155,0
"CREB5",0,-0.846370018599767,0.094,0.177,0
"AQP1",0,0.687353476473452,0.173,0.087,0
"AVL9",0,-0.302172171818884,0.233,0.287,0
"ELMO1",0,-0.669477734040866,0.086,0.155,0
"STK17A",0,-0.524857061868085,0.09,0.162,0
"ASL",0,0.298657490167831,0.127,0.074,0
"PTPN12",0,-0.327014186792131,0.17,0.219,0
"PCLO",0,0.339581940040416,0.296,0.239,0
"PDK4",0,0.545771768086464,0.379,0.224,0
"BRI3",0,0.272984734439572,0.249,0.172,0
"SMURF1",0,-0.380082348619386,0.161,0.224,0
"ARPC1B",0,-0.365687633704434,0.113,0.16,0
"AZGP1",0,0.486616858392303,0.117,0.038,0
"ZNHIT1",0,0.303980554477223,0.209,0.124,0
"FIS1",0,0.296129053583301,0.208,0.12,0
"MET",0,-0.776240296419715,0.139,0.223,0
