"gene","X","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","diff.pct","HGNC.symbol"
"Phyh",7185,0,-0.552298543,0.177,0.352,0,"IRI_long_14",-0.175,"PHYH"
"Phyh",4526,6.17e-239,-0.325076905,0.296,0.335,1.44e-234,"IRI_long_1",-0.039,"PHYH"
"Phyh",5766,1.06e-138,-0.387789437,0.223,0.337,2.47e-134,"IRI_long_3",-0.114,"PHYH"
"Phyh",3683,8.2e-158,0.245789142,0.402,0.318,1.91e-153,"IRI_short_14",0.084,"PHYH"
"Phyh",573,0,0.404557695,0.358,0.315,0,"Control",0.043,"PHYH"
"Map7",574,0,0.404425605,0.139,0.066,0,"Control",0.073,"MAP7"
"Pfdn1",575,0,0.40438148,0.294,0.282,0,"Control",0.012,"PFDN1"
"Pfdn1",7441,0,-0.431812594,0.175,0.302,2.03e-304,"IRI_long_14",-0.127,"PFDN1"
"Pfdn1",6203,7.94e-69,-0.259401734,0.242,0.288,1.85e-64,"IRI_long_3",-0.046,"PFDN1"
"Ppa2",576,0,0.403872985,0.216,0.164,0,"Control",0.052,"PPA2"
"Ppa2",6330,1.23e-42,-0.200600487,0.139,0.184,2.86e-38,"IRI_long_3",-0.045,"PPA2"
"Ppa2",7689,7.79e-241,-0.351413765,0.093,0.194,1.81e-236,"IRI_long_14",-0.101,"PPA2"
"Ppa2",4779,2.55e-159,-0.272534644,0.137,0.188,5.93e-155,"IRI_long_1",-0.051,"PPA2"
"Ppa2",2281,0,-0.219915092,0.194,0.179,0,"IRI_short_1",0.015,"PPA2"
"Sgpp1",577,0,0.403771169,0.146,0.078,0,"Control",0.068,"SGPP1"
"Sgpp1",2726,6.9e-176,-0.214970047,0.072,0.106,1.61e-171,"IRI_short_1",-0.034,"SGPP1"
"Paqr9",578,0,0.403755163,0.102,0.012,0,"Control",0.09,"PAQR9"
"Cpt1a",579,0,0.403270919,0.22,0.174,0,"Control",0.046,"CPT1A"
"Cpt1a",7734,5.74e-228,-0.317514398,0.101,0.202,1.34e-223,"IRI_long_14",-0.101,"CPT1A"
"Cpt1a",6260,7.82e-60,-0.239809592,0.14,0.192,1.82e-55,"IRI_long_3",-0.052,"CPT1A"
"Slc13a1",580,0,0.402188713,0.165,0.055,0,"Control",0.11,"SLC13A1"
"Gipc2",6188,1.42e-71,-0.238062933,0.07,0.139,3.3e-67,"IRI_long_3",-0.069,"GIPC2"
"Gipc2",7063,0,-0.354771826,0.038,0.149,0,"IRI_long_14",-0.111,"GIPC2"
"Gipc2",581,0,0.401219912,0.181,0.111,0,"Control",0.07,"GIPC2"
"Apeh",4804,8.34e-153,-0.235954548,0.051,0.106,1.94e-148,"IRI_long_1",-0.055,"APEH"
"Apeh",582,0,0.398261041,0.143,0.078,0,"Control",0.065,"APEH"
"Apeh",2715,1.36e-220,-0.211838755,0.08,0.103,3.17e-216,"IRI_short_1",-0.023,"APEH"
"Cox17",7692,1.51e-240,0.252558963,0.562,0.419,3.52e-236,"IRI_long_14",0.143,"COX17"
"Cox17",3089,2.18e-123,-0.317139324,0.398,0.439,5.07e-119,"IRI_short_3",-0.041,"COX17"
"Cox17",2337,0,-0.262488558,0.466,0.431,0,"IRI_short_1",0.035,"COX17"
"Cox17",3583,5.08e-269,-0.409109305,0.333,0.453,1.18e-264,"IRI_short_14",-0.12,"COX17"
"Cox17",583,0,0.398047424,0.442,0.434,0,"Control",0.008,"COX17"
"Cox17",5799,3.3e-131,-0.373519831,0.335,0.443,7.67e-127,"IRI_long_3",-0.108,"COX17"
"Mthfd1",4649,1.61e-197,-0.264187533,0.068,0.125,3.75e-193,"IRI_long_1",-0.057,"MTHFD1"
"Mthfd1",584,0,0.397896309,0.163,0.095,0,"Control",0.068,"MTHFD1"
"Mthfd1",6048,1.4e-92,-0.259205784,0.058,0.122,3.25e-88,"IRI_long_3",-0.064,"MTHFD1"
"Mthfd1",7774,1.87e-217,-0.270170669,0.047,0.128,4.36e-213,"IRI_long_14",-0.081,"MTHFD1"
"Mrps24",7966,1.58e-167,-0.313333997,0.348,0.414,3.68e-163,"IRI_long_14",-0.066,"MRPS24"
"Mrps24",585,0,0.39719306,0.399,0.41,0,"Control",-0.011,"MRPS24"
"Mrps24",4762,1.56e-163,-0.235070983,0.389,0.408,3.64e-159,"IRI_long_1",-0.019,"MRPS24"
"Rpl37",3526,0,-0.566290708,0.74,0.846,0,"IRI_short_14",-0.106,"RPL37"
"Rpl37",586,0,0.394793749,0.828,0.834,0,"Control",-0.006,"RPL37"
"Nit1",587,0,0.394050214,0.173,0.11,0,"Control",0.063,"NIT1"
"Nit1",8137,2.11e-94,-0.216901692,0.085,0.137,4.91e-90,"IRI_long_14",-0.052,"NIT1"
"Nit1",2697,8.43e-256,-0.210185434,0.118,0.133,1.96e-251,"IRI_short_1",-0.015,"NIT1"
"Nit1",4855,2.97e-138,-0.231082644,0.089,0.137,6.91e-134,"IRI_long_1",-0.048,"NIT1"
"Abhd14a",588,0,0.393926596,0.121,0.041,0,"Control",0.08,"ABHD14A"
"Atp6v1f",589,0,0.393648676,0.583,0.634,0,"Control",-0.051,"ATP6V1F"
"Atp6v1f",2343,0,-0.27004758,0.663,0.608,0,"IRI_short_1",0.055,"ATP6V1F"
"Atp6v1f",4186,0,-0.482059322,0.552,0.626,0,"IRI_long_1",-0.074,"ATP6V1F"
"Atp6v1f",6064,1.32e-90,-0.264705957,0.601,0.618,3.07e-86,"IRI_long_3",-0.017,"ATP6V1F"
"Edf1",590,0,0.393594462,0.485,0.516,0,"Control",-0.031,"EDF1"
"Edf1",8087,4.02e-120,-0.219195034,0.494,0.507,9.36e-116,"IRI_long_14",-0.013,"EDF1"
"Edf1",4738,1.09e-172,-0.229625735,0.484,0.509,2.53e-168,"IRI_long_1",-0.025,"EDF1"
"Edf1",2263,0,-0.204462086,0.556,0.496,0,"IRI_short_1",0.06,"EDF1"
"Bckdha",6276,9.76e-57,-0.246127612,0.129,0.186,2.27e-52,"IRI_long_3",-0.057,"BCKDHA"
"Bckdha",591,0,0.393563028,0.214,0.167,0,"Control",0.047,"BCKDHA"
"Bckdha",7981,5.99e-165,-0.293629853,0.112,0.193,1.39e-160,"IRI_long_14",-0.081,"BCKDHA"
"Bckdha",4562,4.3e-225,-0.326807521,0.122,0.191,1e-220,"IRI_long_1",-0.069,"BCKDHA"
"Bckdha",2335,0,-0.261682098,0.175,0.184,0,"IRI_short_1",-0.009,"BCKDHA"
"Oaz2",592,0,0.393226755,0.172,0.117,0,"Control",0.055,"OAZ2"
"Oaz2",8092,4.98e-117,-0.250833629,0.084,0.143,1.16e-112,"IRI_long_14",-0.059,"OAZ2"
"mt-Nd6",8131,7.7e-97,-0.209729578,0.094,0.157,1.79e-92,"IRI_long_14",-0.063,"MT-ND6"
