,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,diff.pct
363,0,0.549022254,0.325,0.226,0,Control,Slc25a39,0.099

364,0,0.548783364,0.224,0.095,0,Control,Abcg2,0.129

365,0,0.547734842,0.832,0.757,0,Control,Rpl36,0.075

366,0,0.544900932,0.276,0.175,0,Control,Rab3ip,0.101

367,0,0.544405385,0.147,0.026,0,Control,Sod3,0.121

368,0,0.543339046,0.135,0.017,0,Control,Acsm1,0.118

369,0,0.542109076,0.167,0.072,0,Control,Usp50,0.095

370,0,0.539838428,0.147,0.061,0,Control,Slc7a8,0.086

371,0,0.538542071,0.167,0.045,0,Control,Tkfc,0.122

372,0,0.538173541,0.167,0.059,0,Control,Tprkb,0.108

373,0,0.536808111,0.524,0.452,0,Control,Tpi1,0.072

374,0,0.536681583,0.465,0.427,0,Control,Slc25a4,0.038

375,0,0.536646768,0.65,0.453,0,Control,Igfbp7,0.197

376,0,0.534483832,0.182,0.048,0,Control,Adhfe1,0.134

377,0,0.534483494,0.17,0.053,0,Control,Sgk2,0.117

378,0,0.533935797,0.608,0.572,0,Control,Ndufb11,0.036

379,0,0.53388009,0.877,0.88,0,Control,Rps29,-0.003

380,0,0.53191279,0.176,0.051,0,Control,Ephx2,0.125

381,0,0.530825262,0.157,0.058,0,Control,Smim22,0.099

382,0,0.530712532,0.224,0.129,0,Control,Slc25a51,0.095

383,0,0.530152455,0.473,0.446,0,Control,Nop10,0.027

384,0,0.52927722,0.148,0.032,0,Control,Cgref1,0.116

385,0,0.528843557,0.23,0.118,0,Control,Dbp,0.112

386,0,0.528769657,0.6,0.565,0,Control,Smdt1,0.035

387,0,0.527858226,0.168,0.051,0,Control,Pdk2,0.117

388,0,0.527171034,0.627,0.581,0,Control,Cycs,0.046

389,0,0.526223241,0.149,0.031,0,Control,Upb1,0.118

390,0,0.525604581,0.478,0.453,0,Control,Ndufa11,0.025

391,0,0.523872263,0.193,0.085,0,Control,Pcyt2,0.108

392,0,0.523494687,0.181,0.076,0,Control,Pgpep1,0.105

393,0,0.523234184,0.243,0.125,0,Control,Gstm5,0.118

394,0,0.521851567,0.291,0.205,0,Control,Fdx1,0.086

395,0,0.521024071,0.451,0.411,0,Control,Ndufb3,0.04

396,0,0.520585968,0.338,0.217,0,Control,Car2,0.121

397,0,0.520564261,0.133,0.024,0,Control,Slc2a2,0.109

